"序號","分類","教材名稱","標準網頁檔名","相對路徑","線上瀏覽網址","收錄範圍/頁碼","收錄成語數","收錄成語精選預覽"
31,"八上 練習神器","[八上] 成語週考第30回 p.249-p.255 練功坊練習神器 線上練習神器","idiom-quiz-30.html","idiom-practice/idiom-quiz-30.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-30.html","p.249-p.255",42,"眾說紛紜、眼花繚亂、移花接木、粗衣糲食、粗茶淡飯、細水長流、終南捷徑、習以為常 ...等 42 則"
32,"八上 練習神器","[八上] 成語週考第31回 p.256-p.262 練功坊練習神器 線上練習神器","idiom-quiz-31.html","idiom-practice/idiom-quiz-31.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-31.html","p.256-p.262",41,"魚沉雁杳、魚躍龍門、鳥盡弓藏、鳥語花香、鹿死誰手、麻木不仁、掂斤估兩、勞苦功高 ...等 41 則"
33,"八上 練習神器","[八上] 成語週考第32回 p.263-p.269 練功坊練習神器 線上練習神器","idiom-quiz-32.html","idiom-practice/idiom-quiz-32.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-32.html","p.263-p.269",41,"捶胸頓足、揚長而去、揚眉吐氣、揚眉抵掌、揚湯止沸、晴天霹靂、期期艾艾、朝三暮四 ...等 41 則"
34,"八上 練習神器","[八上] 成語週考第33回 p.270-p.276 練功坊練習神器 線上練習神器","idiom-quiz-33.html","idiom-practice/idiom-quiz-33.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-33.html","p.270-p.276",41,"無病呻吟、無動於衷、無堅不摧、無庸置疑、無微不至、無精打采、無與倫比、無遠弗屆 ...等 41 則"
35,"八上 練習神器","[八上] 成語週考第34回 p.277-p.283 練功坊練習神器 線上練習神器","idiom-quiz-34.html","idiom-practice/idiom-quiz-34.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-34.html","p.277-p.283",42,"絮絮叨叨、絡繹不絕、肅然起敬、菩薩低眉、萍水相逢、華而不實、著書立說、虛左以待 ...等 42 則"
36,"八上 練習神器","[八上] 成語週考第35回 p.284-p.290 練功坊練習神器 線上練習神器","idiom-quiz-35.html","idiom-practice/idiom-quiz-35.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-35.html","p.284-p.290",41,"順手牽羊、順水推舟、飲水思源、飲鴆止渴、黃粱一夢、黃袍加身、揠苗助長、傾家蕩產 ...等 41 則"
37,"八上 練習神器","[八上] 成語週考第36回 p.291-p.298 練功坊練習神器 線上練習神器","idiom-quiz-36.html","idiom-practice/idiom-quiz-36.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-36.html","p.291-p.298",44,"源源不絕、源遠流長、溫故知新、滄海一粟、滄海桑田、滔滔不絕、煙消雲散、煥然一新 ...等 44 則"
38,"八下 練習神器","[八下] 成語週考第37回 p.299-p.306 練功坊練習神器 線上練習神器","idiom-quiz-37.html","idiom-practice/idiom-quiz-37.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-37.html","p.299-p.306",45,"詩情畫意、路不拾遺、載舟覆舟、載沉載浮、運斤成風、遊手好閒、道貌岸然、道聽塗說 ...等 45 則"
39,"八下 練習神器","[八下] 成語週考第38回 p.307-p.314 練功坊練習神器 線上練習神器","idiom-quiz-38.html","idiom-practice/idiom-quiz-38.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-38.html","p.307-p.314",44,"慢條斯理、慘澹經營、截長補短、截然不同、旗開得勝、旗鼓相當、槍林彈雨、滴水不漏 ...等 44 則"
40,"八下 練習神器","[八下] 成語週考第39回 p.315-p.322 練功坊練習神器 線上練習神器","idiom-quiz-39.html","idiom-practice/idiom-quiz-39.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-39.html","p.315-p.322",42,"舞榭歌臺、蒸蒸日上、裹足不前、語重心長、語焉不詳、語無倫次、誓不兩立、說一不二 ...等 42 則"
41,"八下 練習神器","[八下] 成語週考第40回 p.323-p.330 練功坊練習神器 線上練習神器","idiom-quiz-40.html","idiom-practice/idiom-quiz-40.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-40.html","p.323-p.330",45,"摩拳擦掌、摩頂放踵、撲朔迷離、撥雲見日、撒手人寰、敷衍了事、數一數二、數如家珍 ...等 45 則"
42,"八下 練習神器","[八下] 成語週考第41回 p.331-p.338 練功坊練習神器 線上練習神器","idiom-quiz-41.html","idiom-practice/idiom-quiz-41.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-41.html","p.331-p.338",45,"銳不可當、鋒芒畢露、震耳欲聾、養虎貽患、養精蓄銳、餘音繞梁、駟馬難追、駑馬十駕 ...等 45 則"
43,"八下 練習神器","[八下] 成語週考第42回 p.339-p.346 練功坊練習神器 線上練習神器","idiom-quiz-42.html","idiom-practice/idiom-quiz-42.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-42.html","p.339-p.346",43,"瞠目結舌、瞞天過海、磨刀霍霍、磨礪以須、積土成山、積非成是、積重難返、窺見一斑 ...等 43 則"
44,"八下 練習神器","[八下] 成語週考第43回 p.347-p.354 練功坊練習神器 線上練習神器","idiom-quiz-43.html","idiom-practice/idiom-quiz-43.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-43.html","p.347-p.354",42,"優哉游哉、優柔寡斷、優游自在、嚎啕大哭、彌天大罪、應有盡有、應接不暇、擊節嘆賞 ...等 42 則"
45,"八下 練習神器","[八下] 成語週考第44回 p.355-p.362 練功坊練習神器 線上練習神器","idiom-quiz-44.html","idiom-practice/idiom-quiz-44.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-44.html","p.355-p.362",43,"螳臂當車、謙沖自牧、謙謙君子、豁然開朗、豁達大度、趨之若鶩、趨炎附勢、輾轉反側 ...等 43 則"
46,"八下 練習神器","[八下] 成語週考第45回 p.363-p.370 練功坊練習神器 線上練習神器","idiom-quiz-45.html","idiom-practice/idiom-quiz-45.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-45.html","p.363-p.370",42,"雞皮鶴髮、雞飛狗跳、雞鳴狗盜、鞭辟入裡、離鄉背井、離經叛道、離群索居、穩如泰山 ...等 42 則"
47,"八下 練習神器","[八下] 成語週考第46回 p.371-p.377 練功坊練習神器 線上練習神器","idiom-quiz-46.html","idiom-practice/idiom-quiz-46.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-46.html","p.371-p.377",36,"辯才無礙、鐵案如山、鐵畫銀鉤、鐵樹開花、露出馬腳、響徹雲霄、顧此失彼、顧影自憐 ...等 36 則"
48,"七上 詳解PDF","[七上] 成語週考第01回p.19-p.26 練功坊 單回詳解 PDF","idiom-weekly-01.pdf","idiom-pdf/idiom-weekly-01.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-01.pdf","p.19-p.26",41,"第 01 回 完整題目與逐題解析"
49,"七上 詳解PDF","[七上] 成語週考第02回p.27-p.34 練功坊 單回詳解 PDF","idiom-weekly-02.pdf","idiom-pdf/idiom-weekly-02.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-02.pdf","p.27-p.34",38,"第 02 回 完整題目與逐題解析"
50,"七上 詳解PDF","[七上] 成語週考第03回p.35-p.42 練功坊 單回詳解 PDF","idiom-weekly-03.pdf","idiom-pdf/idiom-weekly-03.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-03.pdf","p.35-p.42",42,"第 03 回 完整題目與逐題解析"
51,"七上 詳解PDF","[七上] 成語週考第04回p.43-p.50 練功坊 單回詳解 PDF","idiom-weekly-04.pdf","idiom-pdf/idiom-weekly-04.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-04.pdf","p.43-p.50",42,"第 04 回 完整題目與逐題解析"
52,"七上 詳解PDF","[七上] 成語週考第05回p.51-p.58 練功坊 單回詳解 PDF","idiom-weekly-05.pdf","idiom-pdf/idiom-weekly-05.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-05.pdf","p.51-p.58",42,"第 05 回 完整題目與逐題解析"
